f 1m 1f 2m 2f 3m 3f jL0203m jL0203f
2.4201e-002 1.00000e+000 45.000 2.63242e+001 -42.823 2.57164e+001 -42.771 1.00000e+000 -135.000
2.4771e-002 1.00000e+000 45.000 2.57199e+001 -42.772 2.50978e+001 -42.716 1.00000e+000 -135.000
2.5354e-002 1.00000e+000 45.000 2.51295e+001 -42.719 2.44928e+001 -42.660 1.00000e+000 -135.000
2.5950e-002 1.00000e+000 45.000 2.45527e+001 -42.666 2.39011e+001 -42.602 1.00000e+000 -135.000
2.6561e-002 1.00000e+000 45.000 2.39892e+001 -42.611 2.33222e+001 -42.543 1.00000e+000 -135.000
2.7186e-002 1.00000e+000 45.000 2.34386e+001 -42.555 2.27560e+001 -42.481 1.00000e+000 -135.000
2.7826e-002 1.00000e+000 45.000 2.29008e+001 -42.497 2.22021e+001 -42.418 1.00000e+000 -135.000
2.8480e-002 1.00000e+000 45.000 2.23753e+001 -42.438 2.16602e+001 -42.354 1.00000e+000 -135.000
2.9151e-002 1.00000e+000 45.000 2.18619e+001 -42.378 2.11301e+001 -42.287 1.00000e+000 -135.000
2.9836e-002 1.00000e+000 45.000 2.13604e+001 -42.317 2.06114e+001 -42.219 1.00000e+000 -135.000
3.0539e-002 1.00000e+000 45.000 2.08704e+001 -42.254 2.01038e+001 -42.149 1.00000e+000 -135.000
3.1257e-002 1.00000e+000 45.000 2.03917e+001 -42.189 1.96071e+001 -42.077 1.00000e+000 -135.000
3.1993e-002 1.00000e+000 45.000 1.99240e+001 -42.123 1.91210e+001 -42.002 1.00000e+000 -135.000
3.2745e-002 1.00000e+000 45.000 1.94671e+001 -42.056 1.86453e+001 -41.926 1.00000e+000 -135.000
3.3516e-002 1.00000e+000 45.000 1.90208e+001 -41.986 1.81797e+001 -41.847 1.00000e+000 -135.000
3.4305e-002 1.00000e+000 45.000 1.85847e+001 -41.916 1.77239e+001 -41.766 1.00000e+000 -135.000
3.5112e-002 1.00000e+000 45.000 1.81587e+001 -41.843 1.72777e+001 -41.682 1.00000e+000 -135.000
3.5938e-002 1.00000e+000 45.000 1.77425e+001 -41.769 1.68408e+001 -41.596 1.00000e+000 -135.000
3.6784e-002 1.00000e+000 45.000 1.73359e+001 -41.693 1.64131e+001 -41.507 1.00000e+000 -135.000
3.7649e-002 1.00000e+000 45.000 1.69387e+001 -41.615 1.59942e+001 -41.415 1.00000e+000 -135.000
3.8535e-002 1.00000e+000 45.000 1.65507e+001 -41.536 1.55841e+001 -41.321 1.00000e+000 -135.000
3.9442e-002 1.00000e+000 45.000 1.61716e+001 -41.455 1.51823e+001 -41.223 1.00000e+000 -135.000
4.0370e-002 1.00000e+000 45.000 1.58012e+001 -41.372 1.47888e+001 -41.123 1.00000e+000 -135.000
4.1320e-002 1.00000e+000 45.000 1.54394e+001 -41.286 1.44033e+001 -41.019 1.00000e+000 -135.000
4.2292e-002 1.00000e+000 45.000 1.50860e+001 -41.199 1.40256e+001 -40.911 1.00000e+000 -135.000
4.3288e-002 1.00000e+000 45.000 1.47407e+001 -41.110 1.36555e+001 -40.800 1.00000e+000 -135.000
4.4306e-002 1.00000e+000 45.000 1.44034e+001 -41.019 1.32928e+001 -40.686 1.00000e+000 -135.000
4.5349e-002 1.00000e+000 45.000 1.40739e+001 -40.925 1.29373e+001 -40.567 1.00000e+000 -135.000
4.6416e-002 1.00000e+000 45.000 1.37520e+001 -40.830 1.25888e+001 -40.444 1.00000e+000 -135.000
4.7508e-002 1.00000e+000 45.000 1.34375e+001 -40.732 1.22471e+001 -40.316 1.00000e+000 -135.000
4.8626e-002 1.00000e+000 45.000 1.31303e+001 -40.632 1.19121e+001 -40.184 1.00000e+000 -135.000
4.9770e-002 1.00000e+000 45.000 1.28302e+001 -40.530 1.15836e+001 -40.048 1.00000e+000 -135.000
5.0941e-002 1.00000e+000 45.000 1.25371e+001 -40.425 1.12613e+001 -39.905 1.00000e+000 -135.000
5.2140e-002 1.00000e+000 45.000 1.22507e+001 -40.318 1.09452e+001 -39.758 1.00000e+000 -135.000
5.3367e-002 1.00000e+000 45.000 1.19709e+001 -40.208 1.06350e+001 -39.605 1.00000e+000 -135.000
5.4623e-002 1.00000e+000 45.000 1.16977e+001 -40.096 1.03305e+001 -39.445 1.00000e+000 -135.000
5.5908e-002 1.00000e+000 45.000 1.14307e+001 -39.981 1.00317e+001 -39.279 1.00000e+000 -135.000
5.7224e-002 1.00000e+000 45.000 1.11700e+001 -39.864 9.73840e+000 -39.106 1.00000e+000 -135.000
5.8570e-002 1.00000e+000 45.000 1.09152e+001 -39.743 9.45037e+000 -38.926 1.00000e+000 -135.000
5.9948e-002 1.00000e+000 45.000 1.06664e+001 -39.621 9.16749e+000 -38.738 1.00000e+000 -135.000
6.1359e-002 1.00000e+000 45.000 1.04234e+001 -39.495 8.88962e+000 -38.541 1.00000e+000 -135.000
6.2803e-002 1.00000e+000 45.000 1.01860e+001 -39.366 8.61660e+000 -38.336 1.00000e+000 -135.000
6.4281e-002 1.00000e+000 45.000 9.95410e+000 -39.234 8.34830e+000 -38.120 1.00000e+000 -135.000
6.5793e-002 1.00000e+000 45.000 9.72759e+000 -39.100 8.08457e+000 -37.895 1.00000e+000 -135.000
6.7342e-002 1.00000e+000 45.000 9.50634e+000 -38.962 7.82528e+000 -37.658 1.00000e+000 -135.000
6.8926e-002 1.00000e+000 45.000 9.29024e+000 -38.821 7.57030e+000 -37.409 1.00000e+000 -135.000
7.0548e-002 1.00000e+000 45.000 9.07916e+000 -38.676 7.31949e+000 -37.148 1.00000e+000 -135.000
7.2208e-002 1.00000e+000 45.000 8.87299e+000 -38.529 7.07272e+000 -36.872 1.00000e+000 -135.000
7.3907e-002 1.00000e+000 45.000 8.67162e+000 -38.378 6.82988e+000 -36.581 1.00000e+000 -135.000
7.5646e-002 1.00000e+000 45.000 8.47494e+000 -38.224 6.59084e+000 -36.273 1.00000e+000 -135.000
7.7426e-002 1.00000e+000 45.000 8.28285e+000 -38.066 6.35549e+000 -35.947 1.00000e+000 -135.000
7.9248e-002 1.00000e+000 45.000 8.09523e+000 -37.904 6.12371e+000 -35.602 1.00000e+000 -135.000
8.1113e-002 1.00000e+000 45.000 7.91200e+000 -37.739 5.89538e+000 -35.234 1.00000e+000 -135.000
8.3022e-002 1.00000e+000 45.000 7.73304e+000 -37.570 5.67042e+000 -34.843 1.00000e+000 -135.000
8.4975e-002 1.00000e+000 45.000 7.55826e+000 -37.397 5.44871e+000 -34.425 1.00000e+000 -135.000
8.6975e-002 1.00000e+000 45.000 7.38757e+000 -37.220 5.23015e+000 -33.977 1.00000e+000 -135.000
8.9022e-002 1.00000e+000 45.000 7.22088e+000 -37.040 5.01467e+000 -33.497 1.00000e+000 -135.000
9.1116e-002 1.00000e+000 45.000 7.05809e+000 -36.855 4.80217e+000 -32.981 1.00000e+000 -135.000
9.3260e-002 1.00000e+000 45.000 6.89912e+000 -36.666 4.59257e+000 -32.423 1.00000e+000 -135.000
9.5455e-002 1.00000e+000 45.000 6.74388e+000 -36.473 4.38581e+000 -31.820 1.00000e+000 -135.000
9.7701e-002 1.00000e+000 45.000 6.59229e+000 -36.275 4.18183e+000 -31.165 1.00000e+000 -135.000
1.0000e-001 1.00000e+000 45.000 6.44426e+000 -36.073 3.98058e+000 -30.450 1.00000e+000 -135.000
1.0235e-001 1.00000e+000 45.000 6.29971e+000 -35.866 3.78202e+000 -29.668 1.00000e+000 -135.000
1.0476e-001 1.00000e+000 45.000 6.15857e+000 -35.655 3.58615e+000 -28.808 1.00000e+000 -135.000
1.0723e-001 1.00000e+000 45.000 6.02076e+000 -35.439 3.39295e+000 -27.859 1.00000e+000 -135.000
1.0975e-001 1.00000e+000 45.000 5.88621e+000 -35.219 3.20246e+000 -26.805 1.00000e+000 -135.000
1.1233e-001 1.00000e+000 45.000 5.75483e+000 -34.993 3.01475e+000 -25.628 1.00000e+000 -135.000
1.1498e-001 1.00000e+000 45.000 5.62657e+000 -34.763 2.82991e+000 -24.307 1.00000e+000 -135.000
1.1768e-001 1.00000e+000 45.000 5.50135e+000 -34.527 2.64812e+000 -22.813 1.00000e+000 -135.000
1.2045e-001 1.00000e+000 45.000 5.37910e+000 -34.286 2.46960e+000 -21.114 1.00000e+000 -135.000
1.2328e-001 1.00000e+000 45.000 5.25976e+000 -34.040 2.29469e+000 -19.165 1.00000e+000 -135.000
1.2619e-001 1.00000e+000 45.000 5.14325e+000 -33.789 2.12386e+000 -16.911 1.00000e+000 -135.000
1.2915e-001 1.00000e+000 45.000 5.02953e+000 -33.532 1.95776e+000 -14.284 1.00000e+000 -135.000
1.3219e-001 1.00000e+000 45.000 4.91852e+000 -33.269 1.79728e+000 -11.193 1.00000e+000 -135.000
1.3530e-001 1.00000e+000 45.000 4.81017e+000 -33.001 1.64369e+000 -7.527 1.00000e+000 -135.000
1.3849e-001 1.00000e+000 45.000 4.70442e+000 -32.727 1.49872e+000 -3.146 1.00000e+000 -135.000
1.4175e-001 1.00000e+000 45.000 4.60121e+000 -32.447 1.36475e+000 2.116 1.00000e+000 -135.000
1.4508e-001 1.00000e+000 45.000 4.50048e+000 -32.162 1.24500e+000 8.438 1.00000e+000 -135.000
1.4850e-001 1.00000e+000 45.000 4.40218e+000 -31.870 1.14367e+000 15.971 1.00000e+000 -135.000
1.5199e-001 1.00000e+000 45.000 4.30625e+000 -31.572 1.06576e+000 24.767 1.00000e+000 -135.000
1.5557e-001 1.00000e+000 45.000 4.21265e+000 -31.268 1.01650e+000 34.663 1.00000e+000 -135.000
1.5923e-001 1.00000e+000 45.000 4.12132e+000 -30.958 1.00001e+000 45.211 1.00000e+000 -135.000
1.6298e-001 1.00000e+000 45.000 4.03221e+000 -30.641 1.01785e+000 55.745 1.00000e+000 -135.000
1.6681e-001 1.00000e+000 45.000 3.94527e+000 -30.317 1.06834e+000 65.604 1.00000e+000 -135.000
1.7074e-001 1.00000e+000 45.000 3.86046e+000 -29.987 1.14727e+000 74.351 1.00000e+000 -135.000
1.7475e-001 1.00000e+000 45.000 3.77773e+000 -29.650 1.24943e+000 81.835 1.00000e+000 -135.000
1.7886e-001 1.00000e+000 45.000 3.69703e+000 -29.307 1.36981e+000 88.111 1.00000e+000 -135.000
1.8307e-001 1.00000e+000 45.000 3.61832e+000 -28.956 1.50427e+000 93.335 1.00000e+000 -135.000
1.8738e-001 1.00000e+000 45.000 3.54156e+000 -28.599 1.64962e+000 97.685 1.00000e+000 -135.000
1.9179e-001 1.00000e+000 45.000 3.46670e+000 -28.234 1.80352e+000 101.326 1.00000e+000 -135.000
1.9630e-001 1.00000e+000 45.000 3.39371e+000 -27.863 1.96424e+000 104.396 1.00000e+000 -135.000
2.0092e-001 1.00000e+000 45.000 3.32253e+000 -27.484 2.13054e+000 107.007 1.00000e+000 -135.000
2.0565e-001 1.00000e+000 45.000 3.25314e+000 -27.098 2.30155e+000 109.247 1.00000e+000 -135.000
2.1049e-001 1.00000e+000 45.000 3.18549e+000 -26.704 2.47661e+000 111.185 1.00000e+000 -135.000
2.1544e-001 1.00000e+000 45.000 3.11955e+000 -26.303 2.65526e+000 112.876 1.00000e+000 -135.000
2.2051e-001 1.00000e+000 45.000 3.05528e+000 -25.895 2.83718e+000 114.362 1.00000e+000 -135.000
2.2570e-001 1.00000e+000 45.000 2.99264e+000 -25.479 3.02213e+000 115.677 1.00000e+000 -135.000
2.3101e-001 1.00000e+000 45.000 2.93160e+000 -25.055 3.20995e+000 116.848 1.00000e+000 -135.000
2.3645e-001 1.00000e+000 45.000 2.87213e+000 -24.624 3.40055e+000 117.898 1.00000e+000 -135.000
2.4201e-001 1.00000e+000 45.000 2.81419e+000 -24.186 3.59385e+000 118.844 1.00000e+000 -135.000
2.4771e-001 1.00000e+000 45.000 2.75774e+000 -23.739 3.78984e+000 119.701 1.00000e+000 -135.000
2.5354e-001 1.00000e+000 45.000 2.70276e+000 -23.285 3.98850e+000 120.480 1.00000e+000 -135.000
2.5950e-001 1.00000e+000 45.000 2.64922e+000 -22.823 4.18986e+000 121.192 1.00000e+000 -135.000
2.6561e-001 1.00000e+000 45.000 2.59708e+000 -22.353 4.39395e+000 121.845 1.00000e+000 -135.000
2.7186e-001 1.00000e+000 45.000 2.54631e+000 -21.876 4.60082e+000 122.446 1.00000e+000 -135.000
2.7826e-001 1.00000e+000 45.000 2.49689e+000 -21.391 4.81053e+000 123.002 1.00000e+000 -135.000
2.8480e-001 1.00000e+000 45.000 2.44878e+000 -20.898 5.02315e+000 123.517 1.00000e+000 -135.000
2.9151e-001 1.00000e+000 45.000 2.40197e+000 -20.397 5.23875e+000 123.996 1.00000e+000 -135.000
2.9836e-001 1.00000e+000 45.000 2.35641e+000 -19.889 5.45743e+000 124.442 1.00000e+000 -135.000
3.0539e-001 1.00000e+000 45.000 2.31208e+000 -19.373 5.67927e+000 124.859 1.00000e+000 -135.000
3.1257e-001 1.00000e+000 45.000 2.26897e+000 -18.850 5.90436e+000 125.249 1.00000e+000 -135.000
3.1993e-001 1.00000e+000 45.000 2.22703e+000 -18.319 6.13282e+000 125.616 1.00000e+000 -135.000
3.2745e-001 1.00000e+000 45.000 2.18625e+000 -17.780 6.36474e+000 125.960 1.00000e+000 -135.000
3.3516e-001 1.00000e+000 45.000 2.14660e+000 -17.235 6.60024e+000 126.286 1.00000e+000 -135.000
3.4305e-001 1.00000e+000 45.000 2.10806e+000 -16.682 6.83943e+000 126.593 1.00000e+000 -135.000
3.5112e-001 1.00000e+000 45.000 2.07060e+000 -16.122 7.08242e+000 126.883 1.00000e+000 -135.000
3.5938e-001 1.00000e+000 45.000 2.03420e+000 -15.555 7.32935e+000 127.158 1.00000e+000 -135.000
3.6784e-001 1.00000e+000 45.000 1.99884e+000 -14.981 7.58032e+000 127.419 1.00000e+000 -135.000
3.7649e-001 1.00000e+000 45.000 1.96449e+000 -14.400 7.83547e+000 127.668 1.00000e+000 -135.000
3.8535e-001 1.00000e+000 45.000 1.93113e+000 -13.813 8.09493e+000 127.904 1.00000e+000 -135.000
3.9442e-001 1.00000e+000 45.000 1.89874e+000 -13.220 8.35884e+000 128.129 1.00000e+000 -135.000
4.0370e-001 1.00000e+000 45.000 1.86729e+000 -12.620 8.62733e+000 128.344 1.00000e+000 -135.000
4.1320e-001 1.00000e+000 45.000 1.83678e+000 -12.014 8.90053e+000 128.549 1.00000e+000 -135.000
4.2292e-001 1.00000e+000 45.000 1.80717e+000 -11.403 9.17860e+000 128.745 1.00000e+000 -135.000
4.3288e-001 1.00000e+000 45.000 1.77845e+000 -10.786 9.46168e+000 128.933 1.00000e+000 -135.000
4.4306e-001 1.00000e+000 45.000 1.75059e+000 -10.164 9.74992e+000 129.113 1.00000e+000 -135.000
4.5349e-001 1.00000e+000 45.000 1.72358e+000 -9.536 1.00435e+001 129.286 1.00000e+000 -135.000
4.6416e-001 1.00000e+000 45.000 1.69740e+000 -8.904 1.03425e+001 129.451 1.00000e+000 -135.000
4.7508e-001 1.00000e+000 45.000 1.67202e+000 -8.268 1.06471e+001 129.611 1.00000e+000 -135.000
4.8626e-001 1.00000e+000 45.000 1.64744e+000 -7.627 1.09576e+001 129.764 1.00000e+000 -135.000
4.9770e-001 1.00000e+000 45.000 1.62362e+000 -6.982 1.12739e+001 129.911 1.00000e+000 -135.000
5.0941e-001 1.00000e+000 45.000 1.60056e+000 -6.334 1.15965e+001 130.053 1.00000e+000 -135.000
5.2140e-001 1.00000e+000 45.000 1.57822e+000 -5.682 1.19253e+001 130.190 1.00000e+000 -135.000
5.3367e-001 1.00000e+000 45.000 1.55661e+000 -5.027 1.22605e+001 130.322 1.00000e+000 -135.000
5.4623e-001 1.00000e+000 45.000 1.53569e+000 -4.370 1.26025e+001 130.449 1.00000e+000 -135.000
5.5908e-001 1.00000e+000 45.000 1.51546e+000 -3.710 1.29512e+001 130.572 1.00000e+000 -135.000
5.7224e-001 1.00000e+000 45.000 1.49589e+000 -3.049 1.33070e+001 130.690 1.00000e+000 -135.000
5.8570e-001 1.00000e+000 45.000 1.47697e+000 -2.385 1.36700e+001 130.805 1.00000e+000 -135.000
5.9948e-001 1.00000e+000 45.000 1.45867e+000 -1.721 1.40404e+001 130.916 1.00000e+000 -135.000
6.1359e-001 1.00000e+000 45.000 1.44100e+000 -1.055 1.44184e+001 131.023 1.00000e+000 -135.000
6.2803e-001 1.00000e+000 45.000 1.42392e+000 -0.389 1.48042e+001 131.127 1.00000e+000 -135.000
6.4281e-001 1.00000e+000 45.000 1.40742e+000 0.277 1.51981e+001 131.227 1.00000e+000 -135.000
6.5793e-001 1.00000e+000 45.000 1.39150e+000 0.943 1.56001e+001 131.325 1.00000e+000 -135.000
6.7342e-001 1.00000e+000 45.000 1.37612e+000 1.609 1.60107e+001 131.419 1.00000e+000 -135.000
6.8926e-001 1.00000e+000 45.000 1.36128e+000 2.274 1.64299e+001 131.511 1.00000e+000 -135.000
7.0548e-001 1.00000e+000 45.000 1.34696e+000 2.937 1.68579e+001 131.599 1.00000e+000 -135.000
7.2208e-001 1.00000e+000 45.000 1.33315e+000 3.599 1.72952e+001 131.685 1.00000e+000 -135.000
7.3907e-001 1.00000e+000 45.000 1.31984e+000 4.259 1.77417e+001 131.769 1.00000e+000 -135.000
7.5646e-001 1.00000e+000 45.000 1.30700e+000 4.917 1.81979e+001 131.850 1.00000e+000 -135.000
7.7426e-001 1.00000e+000 45.000 1.29463e+000 5.572 1.86640e+001 131.929 1.00000e+000 -135.000
7.9248e-001 1.00000e+000 45.000 1.28270e+000 6.224 1.91401e+001 132.005 1.00000e+000 -135.000
8.1113e-001 1.00000e+000 45.000 1.27122e+000 6.873 1.96266e+001 132.079 1.00000e+000 -135.000
8.3022e-001 1.00000e+000 45.000 1.26016e+000 7.519 2.01237e+001 132.152 1.00000e+000 -135.000
8.4975e-001 1.00000e+000 45.000 1.24951e+000 8.160 2.06317e+001 132.222 1.00000e+000 -135.000
8.6975e-001 1.00000e+000 45.000 1.23926e+000 8.797 2.11509e+001 132.290 1.00000e+000 -135.000
8.9022e-001 1.00000e+000 45.000 1.22939e+000 9.430 2.16815e+001 132.356 1.00000e+000 -135.000
9.1116e-001 1.00000e+000 45.000 1.21990e+000 10.058 2.22238e+001 132.421 1.00000e+000 -135.000
9.3260e-001 1.00000e+000 45.000 1.21078e+000 10.682 2.27782e+001 132.484 1.00000e+000 -135.000
9.5455e-001 1.00000e+000 45.000 1.20200e+000 11.299 2.33449e+001 132.545 1.00000e+000 -135.000
9.7701e-001 1.00000e+000 45.000 1.19356e+000 11.912 2.39242e+001 132.604 1.00000e+000 -135.000
1.0000e+000 1.00000e+000 45.000 1.18545e+000 12.518 2.45165e+001 132.662 1.00000e+000 -135.000
1.0235e+000 1.00000e+000 45.000 1.17765e+000 13.119 2.51221e+001 132.719 1.00000e+000 -135.000
1.0476e+000 1.00000e+000 45.000 1.17016e+000 13.714 2.57412e+001 132.774 1.00000e+000 -135.000
1.0723e+000 1.00000e+000 45.000 1.16297e+000 14.302 2.63743e+001 132.827 1.00000e+000 -135.000
1.0975e+000 1.00000e+000 45.000 1.15606e+000 14.884 2.70216e+001 132.879 1.00000e+000 -135.000
1.1233e+000 1.00000e+000 45.000 1.14943e+000 15.459 2.76836e+001 132.930 1.00000e+000 -135.000
1.1498e+000 1.00000e+000 45.000 1.14306e+000 16.027 2.83605e+001 132.979 1.00000e+000 -135.000
1.1768e+000 1.00000e+000 45.000 1.13695e+000 16.588 2.90528e+001 133.027 1.00000e+000 -135.000
1.2045e+000 1.00000e+000 45.000 1.13108e+000 17.142 2.97607e+001 133.074 1.00000e+000 -135.000
1.2328e+000 1.00000e+000 45.000 1.12546e+000 17.689 3.04848e+001 133.120 1.00000e+000 -135.000
1.2619e+000 1.00000e+000 45.000 1.12006e+000 18.229 3.12254e+001 133.165 1.00000e+000 -135.000
1.2915e+000 1.00000e+000 45.000 1.11488e+000 18.761 3.19829e+001 133.208 1.00000e+000 -135.000
1.3219e+000 1.00000e+000 45.000 1.10992e+000 19.285 3.27577e+001 133.251 1.00000e+000 -135.000
1.3530e+000 1.00000e+000 45.000 1.10516e+000 19.803 3.35502e+001 133.292 1.00000e+000 -135.000
1.3849e+000 1.00000e+000 45.000 1.10060e+000 20.312 3.43609e+001 133.332 1.00000e+000 -135.000
1.4175e+000 1.00000e+000 45.000 1.09623e+000 20.814 3.51901e+001 133.372 1.00000e+000 -135.000
1.4508e+000 1.00000e+000 45.000 1.09204e+000 21.308 3.60384e+001 133.410 1.00000e+000 -135.000
1.4850e+000 1.00000e+000 45.000 1.08802e+000 21.795 3.69062e+001 133.447 1.00000e+000 -135.000
1.5199e+000 1.00000e+000 45.000 1.08418e+000 22.273 3.77939e+001 133.484 1.00000e+000 -135.000
1.5557e+000 1.00000e+000 45.000 1.08049e+000 22.744 3.87021e+001 133.519 1.00000e+000 -135.000
1.5923e+000 1.00000e+000 45.000 1.07696e+000 23.208 3.96312e+001 133.554 1.00000e+000 -135.000
1.6298e+000 1.00000e+000 45.000 1.07359e+000 23.663 4.05818e+001 133.588 1.00000e+000 -135.000
1.6681e+000 1.00000e+000 45.000 1.07035e+000 24.111 4.15543e+001 133.621 1.00000e+000 -135.000
1.7074e+000 1.00000e+000 45.000 1.06725e+000 24.551 4.25493e+001 133.653 1.00000e+000 -135.000
1.7475e+000 1.00000e+000 45.000 1.06429e+000 24.983 4.35674e+001 133.685 1.00000e+000 -135.000
1.7886e+000 1.00000e+000 45.000 1.06145e+000 25.408 4.46090e+001 133.715 1.00000e+000 -135.000
1.8307e+000 1.00000e+000 45.000 1.05874e+000 25.825 4.56747e+001 133.745 1.00000e+000 -135.000
1.8738e+000 1.00000e+000 45.000 1.05614e+000 26.235 4.67651e+001 133.775 1.00000e+000 -135.000
1.9179e+000 1.00000e+000 45.000 1.05365e+000 26.637 4.78809e+001 133.803 1.00000e+000 -135.000
1.9630e+000 1.00000e+000 45.000 1.05127e+000 27.032 4.90225e+001 133.831 1.00000e+000 -135.000
2.0092e+000 1.00000e+000 45.000 1.04900e+000 27.419 5.01906e+001 133.858 1.00000e+000 -135.000
2.0565e+000 1.00000e+000 45.000 1.04682e+000 27.799 5.13860e+001 133.885 1.00000e+000 -135.000
2.1049e+000 1.00000e+000 45.000 1.04474e+000 28.172 5.26091e+001 133.911 1.00000e+000 -135.000
2.1544e+000 1.00000e+000 45.000 1.04274e+000 28.538 5.38606e+001 133.936 1.00000e+000 -135.000
2.2051e+000 1.00000e+000 45.000 1.04084e+000 28.897 5.51413e+001 133.961 1.00000e+000 -135.000
2.2570e+000 1.00000e+000 45.000 1.03902e+000 29.248 5.64519e+001 133.985 1.00000e+000 -135.000
2.3101e+000 1.00000e+000 45.000 1.03728e+000 29.593 5.77930e+001 134.009 1.00000e+000 -135.000
2.3645e+000 1.00000e+000 45.000 1.03561e+000 29.931 5.91653e+001 134.032 1.00000e+000 -135.000
2.4201e+000 1.00000e+000 45.000 1.03402e+000 30.262 6.05697e+001 134.054 1.00000e+000 -135.000
2.4771e+000 1.00000e+000 45.000 1.03250e+000 30.587 6.20068e+001 134.076 1.00000e+000 -135.000
2.5354e+000 1.00000e+000 45.000 1.03104e+000 30.905 6.34774e+001 134.097 1.00000e+000 -135.000
